,event_number,runs,start_time,end_time,country
0,1,h046,2002-02-21 12:00:00,2002-03-22 12:00:00,NOR
1,2,h146,2002-02-11 12:00:00,2002-03-12 12:00:00,NOR
2,3,h056,2005-02-18 12:00:00,2005-03-19 12:00:00,NOR
3,4,h145,2007-02-04 12:00:00,2007-03-05 12:00:00,NOR
4,5,h052,2006-01-17 12:00:00,2006-02-15 12:00:00,NOR
5,6,h150,2004-01-22 12:00:00,2004-02-20 12:00:00,NOR
6,7,h157,2000-02-06 12:00:00,2000-03-06 12:00:00,NOR
7,8,h144,2001-01-29 12:00:00,2001-02-27 12:00:00,NOR
8,9,h061,2004-01-13 12:00:00,2004-02-11 12:00:00,NOR
9,10,h118,2007-01-05 12:00:00,2007-02-03 12:00:00,NOR
10,11,h147,2002-02-18 12:00:00,2002-03-19 12:00:00,NOR
11,12,h010,2003-01-17 12:00:00,2003-02-15 12:00:00,NOR
12,13,h154,2001-02-03 12:00:00,2001-03-04 12:00:00,NOR
13,14,h032,2001-02-15 12:00:00,2001-03-16 12:00:00,NOR
14,15,h046,2003-03-06 12:00:00,2003-04-04 12:00:00,NOR
15,16,h069,2005-02-10 12:00:00,2005-03-11 12:00:00,NOR
16,17,h098,2005-01-20 12:00:00,2005-02-18 12:00:00,NOR
17,18,h032,2007-02-17 12:00:00,2007-03-18 12:00:00,NOR
18,19,h153,2002-03-04 12:00:00,2002-04-02 12:00:00,NOR
19,20,h020,2009-02-05 12:00:00,2009-03-06 12:00:00,NOR
20,21,h033,2007-02-08 12:00:00,2007-03-09 12:00:00,NOR
21,22,h068,2006-02-03 12:00:00,2006-03-04 12:00:00,NOR
22,23,h045,2001-02-16 12:00:00,2001-03-17 12:00:00,NOR
23,24,h168,2002-02-01 12:00:00,2002-03-02 12:00:00,NOR
24,25,h168,2003-02-08 12:00:00,2003-03-09 12:00:00,NOR
25,26,h106,2003-01-18 12:00:00,2003-02-16 12:00:00,NOR
26,27,h158,2001-02-14 12:00:00,2001-03-15 12:00:00,NOR
27,28,h150,2004-02-23 12:00:00,2004-03-23 12:00:00,NOR
28,29,h144,2000-03-16 12:00:00,2000-04-14 12:00:00,NOR
29,30,h069,2006-02-16 12:00:00,2006-03-17 12:00:00,NOR
30,31,h068,2006-03-13 12:00:00,2006-04-11 12:00:00,NOR
31,32,h102,2008-02-04 12:00:00,2008-03-04 12:00:00,NOR
32,33,h120,2008-02-08 12:00:00,2008-03-08 12:00:00,NOR
33,34,h052,2002-03-11 12:00:00,2002-04-09 12:00:00,NOR
34,35,h144,2001-03-19 12:00:00,2001-04-17 12:00:00,NOR
35,36,h167,2006-01-05 12:00:00,2006-02-03 12:00:00,NOR
36,37,h069,2005-01-11 12:00:00,2005-02-09 12:00:00,NOR
37,38,h118,2006-02-21 12:00:00,2006-03-22 12:00:00,NOR
38,39,h145,2007-03-18 12:00:00,2007-04-16 12:00:00,NOR
39,40,h045,2009-02-26 12:00:00,2009-03-27 12:00:00,NOR
40,41,h140,2000-02-21 12:00:00,2000-03-21 12:00:00,NOR
