,index,runs,time,residual,event_of_run,event_nr,event_mean_residual,event_total_residual,nr_of_days,month,doy,week,country
0,504172,h150,2004-01-03 12:00:00,403260.3913931335,2,1,458272.86206595675,49493469.10312333,108,3,3,3,NOR
1,504173,h150,2004-01-04 12:00:00,403260.3913931335,2,1,458272.86206595675,49493469.10312333,108,3,4,3,NOR
2,504175,h150,2004-01-06 12:00:00,403260.39139313356,2,1,458272.86206595675,49493469.10312333,108,3,6,3,NOR
3,504176,h150,2004-01-07 12:00:00,403260.39139313344,2,1,458272.86206595675,49493469.10312333,108,3,7,3,NOR
4,504177,h150,2004-01-08 12:00:00,403260.39139313356,2,1,458272.86206595675,49493469.10312333,108,3,8,3,NOR
5,504178,h150,2004-01-09 12:00:00,403260.3913931336,2,1,458272.86206595675,49493469.10312333,108,3,9,3,NOR
6,504179,h150,2004-01-10 12:00:00,431760.4056913553,2,1,458272.86206595675,49493469.10312333,108,3,10,3,NOR
7,504180,h150,2004-01-11 12:00:00,464378.36556511687,2,1,458272.86206595675,49493469.10312333,108,3,11,3,NOR
8,504181,h150,2004-01-12 12:00:00,464378.3655651168,2,1,458272.86206595675,49493469.10312333,108,3,12,3,NOR
9,504182,h150,2004-01-13 12:00:00,464378.3655651169,2,1,458272.86206595675,49493469.10312333,108,3,13,3,NOR
10,504183,h150,2004-01-14 12:00:00,464378.36556511687,2,1,458272.86206595675,49493469.10312333,108,3,14,3,NOR
11,504184,h150,2004-01-15 12:00:00,464378.36556511687,2,1,458272.86206595675,49493469.10312333,108,3,15,3,NOR
12,504185,h150,2004-01-16 12:00:00,464378.36556511675,2,1,458272.86206595675,49493469.10312333,108,3,16,3,NOR
13,504186,h150,2004-01-17 12:00:00,483379.58467850985,2,1,458272.86206595675,49493469.10312333,108,3,17,3,NOR
14,504187,h150,2004-01-18 12:00:00,483379.58467850956,2,1,458272.86206595675,49493469.10312333,108,3,18,3,NOR
15,504188,h150,2004-01-19 12:00:00,483379.5846785098,2,1,458272.86206595675,49493469.10312333,108,3,19,3,NOR
16,504189,h150,2004-01-20 12:00:00,483379.58467850974,2,1,458272.86206595675,49493469.10312333,108,3,20,3,NOR
17,504190,h150,2004-01-21 12:00:00,483379.58467850985,2,1,458272.86206595675,49493469.10312333,108,3,21,3,NOR
18,504191,h150,2004-01-22 12:00:00,483379.58467850985,2,1,458272.86206595675,49493469.10312333,108,3,22,3,NOR
19,504192,h150,2004-01-23 12:00:00,483379.5846785099,2,1,458272.86206595675,49493469.10312333,108,3,23,3,NOR
20,504193,h150,2004-01-24 12:00:00,490070.7826175872,2,1,458272.86206595675,49493469.10312333,108,3,24,3,NOR
21,504194,h150,2004-01-25 12:00:00,490070.78261758713,2,1,458272.86206595675,49493469.10312333,108,3,25,3,NOR
22,504195,h150,2004-01-26 12:00:00,490070.78261758713,2,1,458272.86206595675,49493469.10312333,108,3,26,3,NOR
23,504196,h150,2004-01-27 12:00:00,490070.7826175872,2,1,458272.86206595675,49493469.10312333,108,3,27,3,NOR
24,504197,h150,2004-01-28 12:00:00,490070.7826175871,2,1,458272.86206595675,49493469.10312333,108,3,28,3,NOR
25,504198,h150,2004-01-29 12:00:00,490070.78261758725,2,1,458272.86206595675,49493469.10312333,108,3,29,3,NOR
26,504199,h150,2004-01-30 12:00:00,490070.78261758713,2,1,458272.86206595675,49493469.10312333,108,3,30,3,NOR
27,504200,h150,2004-01-31 12:00:00,476351.6308588396,2,1,458272.86206595675,49493469.10312333,108,3,31,3,NOR
28,504201,h150,2004-02-01 12:00:00,485799.6867731315,2,1,458272.86206595675,49493469.10312333,108,3,32,3,NOR
29,504202,h150,2004-02-02 12:00:00,490070.78261758713,2,1,458272.86206595675,49493469.10312333,108,3,33,3,NOR
30,504203,h150,2004-02-03 12:00:00,471618.584340507,2,1,458272.86206595675,49493469.10312333,108,3,34,3,NOR
31,504204,h150,2004-02-04 12:00:00,490070.78261758725,2,1,458272.86206595675,49493469.10312333,108,3,35,3,NOR
32,504205,h150,2004-02-05 12:00:00,490070.7826175871,2,1,458272.86206595675,49493469.10312333,108,3,36,3,NOR
33,504206,h150,2004-02-06 12:00:00,490070.7826175872,2,1,458272.86206595675,49493469.10312333,108,3,37,3,NOR
34,504207,h150,2004-02-07 12:00:00,480955.4983261403,2,1,458272.86206595675,49493469.10312333,108,3,38,3,NOR
35,504208,h150,2004-02-08 12:00:00,439842.61389780015,2,1,458272.86206595675,49493469.10312333,108,3,39,3,NOR
36,504209,h150,2004-02-09 12:00:00,469645.0484450722,2,1,458272.86206595675,49493469.10312333,108,3,40,3,NOR
37,504210,h150,2004-02-10 12:00:00,498368.4598592128,2,1,458272.86206595675,49493469.10312333,108,3,41,3,NOR
38,504211,h150,2004-02-11 12:00:00,506372.8985342919,2,1,458272.86206595675,49493469.10312333,108,3,42,3,NOR
39,504212,h150,2004-02-12 12:00:00,506372.89853429183,2,1,458272.86206595675,49493469.10312333,108,3,43,3,NOR
40,504213,h150,2004-02-13 12:00:00,506372.898534292,2,1,458272.86206595675,49493469.10312333,108,3,44,3,NOR
41,504214,h150,2004-02-14 12:00:00,506372.89853429224,2,1,458272.86206595675,49493469.10312333,108,3,45,3,NOR
42,504215,h150,2004-02-15 12:00:00,506372.89853429195,2,1,458272.86206595675,49493469.10312333,108,3,46,3,NOR
43,504216,h150,2004-02-16 12:00:00,506372.898534292,2,1,458272.86206595675,49493469.10312333,108,3,47,3,NOR
44,504217,h150,2004-02-17 12:00:00,506372.8985342919,2,1,458272.86206595675,49493469.10312333,108,3,48,3,NOR
45,504218,h150,2004-02-18 12:00:00,506372.8985342919,2,1,458272.86206595675,49493469.10312333,108,3,49,3,NOR
46,504219,h150,2004-02-19 12:00:00,502764.0644826164,2,1,458272.86206595675,49493469.10312333,108,3,50,3,NOR
47,504220,h150,2004-02-20 12:00:00,494869.02679029485,2,1,458272.86206595675,49493469.10312333,108,3,51,3,NOR
48,504221,h150,2004-02-21 12:00:00,466351.9214432975,2,1,458272.86206595675,49493469.10312333,108,3,52,3,NOR
49,504222,h150,2004-02-22 12:00:00,459809.3856675695,2,1,458272.86206595675,49493469.10312333,108,3,53,3,NOR
50,504223,h150,2004-02-23 12:00:00,478298.07281382347,2,1,458272.86206595675,49493469.10312333,108,3,54,3,NOR
51,504224,h150,2004-02-24 12:00:00,488215.47102283424,2,1,458272.86206595675,49493469.10312333,108,3,55,3,NOR
52,504225,h150,2004-02-25 12:00:00,499988.260459885,2,1,458272.86206595675,49493469.10312333,108,3,56,3,NOR
53,504226,h150,2004-02-26 12:00:00,498935.53626360797,2,1,458272.86206595675,49493469.10312333,108,3,57,3,NOR
54,504227,h150,2004-02-27 12:00:00,497270.02580490895,2,1,458272.86206595675,49493469.10312333,108,3,58,3,NOR
55,504228,h150,2004-02-28 12:00:00,470450.1401830105,2,1,458272.86206595675,49493469.10312333,108,3,59,3,NOR
56,504229,h150,2004-02-29 12:00:00,466559.25931331597,2,1,458272.86206595675,49493469.10312333,108,3,60,3,NOR
57,504230,h150,2004-03-01 12:00:00,460955.8029325224,2,1,458272.86206595675,49493469.10312333,108,3,61,3,NOR
58,504231,h150,2004-03-02 12:00:00,465436.62707650254,2,1,458272.86206595675,49493469.10312333,108,3,62,3,NOR
59,504232,h150,2004-03-03 12:00:00,476678.1215344305,2,1,458272.86206595675,49493469.10312333,108,3,63,3,NOR
60,504233,h150,2004-03-04 12:00:00,454153.1623510836,2,1,458272.86206595675,49493469.10312333,108,3,64,3,NOR
61,504234,h150,2004-03-05 12:00:00,424815.4563115643,2,1,458272.86206595675,49493469.10312333,108,3,65,3,NOR
62,504235,h150,2004-03-06 12:00:00,388241.6160351335,2,1,458272.86206595675,49493469.10312333,108,3,66,3,NOR
63,504236,h150,2004-03-07 12:00:00,391503.8859914303,2,1,458272.86206595675,49493469.10312333,108,3,67,3,NOR
64,504237,h150,2004-03-08 12:00:00,438811.52172476205,2,1,458272.86206595675,49493469.10312333,108,3,68,3,NOR
65,504238,h150,2004-03-09 12:00:00,453250.16555602057,2,1,458272.86206595675,49493469.10312333,108,3,69,3,NOR
66,504239,h150,2004-03-10 12:00:00,470450.1401830105,2,1,458272.86206595675,49493469.10312333,108,3,70,3,NOR
67,504240,h150,2004-03-11 12:00:00,470450.1401830105,2,1,458272.86206595675,49493469.10312333,108,3,71,3,NOR
68,504241,h150,2004-03-12 12:00:00,470450.1401830105,2,1,458272.86206595675,49493469.10312333,108,3,72,3,NOR
69,504242,h150,2004-03-13 12:00:00,447608.73555703624,2,1,458272.86206595675,49493469.10312333,108,3,73,3,NOR
70,504243,h150,2004-03-14 12:00:00,432128.02589185955,2,1,458272.86206595675,49493469.10312333,108,3,74,3,NOR
71,504244,h150,2004-03-15 12:00:00,470450.1401830105,2,1,458272.86206595675,49493469.10312333,108,3,75,3,NOR
72,504245,h150,2004-03-16 12:00:00,470450.1401830104,2,1,458272.86206595675,49493469.10312333,108,3,76,3,NOR
73,504246,h150,2004-03-17 12:00:00,470450.1401830105,2,1,458272.86206595675,49493469.10312333,108,3,77,3,NOR
74,504247,h150,2004-03-18 12:00:00,452386.54209316755,2,1,458272.86206595675,49493469.10312333,108,3,78,3,NOR
75,504248,h150,2004-03-19 12:00:00,431966.1073942248,2,1,458272.86206595675,49493469.10312333,108,3,79,3,NOR
76,504249,h150,2004-03-20 12:00:00,431159.34643922525,2,1,458272.86206595675,49493469.10312333,108,3,80,3,NOR
77,504250,h150,2004-03-21 12:00:00,437286.1792391108,2,1,458272.86206595675,49493469.10312333,108,3,81,3,NOR
78,504251,h150,2004-03-22 12:00:00,470450.14018301055,2,1,458272.86206595675,49493469.10312333,108,3,82,3,NOR
79,504252,h150,2004-03-23 12:00:00,470450.1401830105,2,1,458272.86206595675,49493469.10312333,108,3,83,3,NOR
80,504253,h150,2004-03-24 12:00:00,470450.1401830106,2,1,458272.86206595675,49493469.10312333,108,3,84,3,NOR
81,504254,h150,2004-03-25 12:00:00,470450.14018301055,2,1,458272.86206595675,49493469.10312333,108,3,85,3,NOR
82,504255,h150,2004-03-26 12:00:00,470450.1401830106,2,1,458272.86206595675,49493469.10312333,108,3,86,3,NOR
83,504256,h150,2004-03-27 12:00:00,449340.7998477046,2,1,458272.86206595675,49493469.10312333,108,3,87,3,NOR
84,504257,h150,2004-03-28 12:00:00,443739.1051043398,2,1,458272.86206595675,49493469.10312333,108,3,88,3,NOR
85,504258,h150,2004-03-29 12:00:00,446177.9969180996,2,1,458272.86206595675,49493469.10312333,108,3,89,3,NOR
86,504259,h150,2004-03-30 12:00:00,444927.04498679144,2,1,458272.86206595675,49493469.10312333,108,3,90,3,NOR
87,504260,h150,2004-03-31 12:00:00,463591.20169732,2,1,458272.86206595675,49493469.10312333,108,3,91,3,NOR
88,504261,h150,2004-04-01 12:00:00,465832.34257914865,2,1,458272.86206595675,49493469.10312333,108,3,92,3,NOR
89,504262,h150,2004-04-02 12:00:00,433640.70139712637,2,1,458272.86206595675,49493469.10312333,108,3,93,3,NOR
90,504263,h150,2004-04-03 12:00:00,346806.8828955788,2,1,458272.86206595675,49493469.10312333,108,3,94,3,NOR
91,504264,h150,2004-04-04 12:00:00,375409.9143942424,2,1,458272.86206595675,49493469.10312333,108,3,95,3,NOR
92,504265,h150,2004-04-05 12:00:00,424606.51674752287,2,1,458272.86206595675,49493469.10312333,108,3,96,3,NOR
93,504266,h150,2004-04-06 12:00:00,425650.7651396827,2,1,458272.86206595675,49493469.10312333,108,3,97,3,NOR
94,504267,h150,2004-04-07 12:00:00,430656.6023897774,2,1,458272.86206595675,49493469.10312333,108,3,98,3,NOR
95,504268,h150,2004-04-08 12:00:00,439444.126895711,2,1,458272.86206595675,49493469.10312333,108,3,99,3,NOR
96,504269,h150,2004-04-09 12:00:00,450866.8432220976,2,1,458272.86206595675,49493469.10312333,108,3,100,3,NOR
97,504270,h150,2004-04-10 12:00:00,431997.9069187514,2,1,458272.86206595675,49493469.10312333,108,3,101,3,NOR
98,504271,h150,2004-04-11 12:00:00,432809.3530455606,2,1,458272.86206595675,49493469.10312333,108,3,102,3,NOR
99,504272,h150,2004-04-12 12:00:00,435318.76755071175,2,1,458272.86206595675,49493469.10312333,108,3,103,3,NOR
100,504273,h150,2004-04-13 12:00:00,434464.15403452463,2,1,458272.86206595675,49493469.10312333,108,3,104,3,NOR
101,504274,h150,2004-04-14 12:00:00,435318.7675507117,2,1,458272.86206595675,49493469.10312333,108,3,105,3,NOR
102,504275,h150,2004-04-15 12:00:00,435318.76755071164,2,1,458272.86206595675,49493469.10312333,108,3,106,3,NOR
103,504276,h150,2004-04-16 12:00:00,435318.7675507117,2,1,458272.86206595675,49493469.10312333,108,3,107,3,NOR
104,504277,h150,2004-04-17 12:00:00,418000.60533490544,2,1,458272.86206595675,49493469.10312333,108,3,108,3,NOR
105,504278,h150,2004-04-18 12:00:00,395906.02707530203,2,1,458272.86206595675,49493469.10312333,108,3,109,3,NOR
106,504279,h150,2004-04-19 12:00:00,386768.8207490672,2,1,458272.86206595675,49493469.10312333,108,3,110,3,NOR
107,504281,h150,2004-04-21 12:00:00,341118.9594019562,2,1,458272.86206595675,49493469.10312333,108,3,112,3,NOR
108,214030,h069,2006-01-01 12:00:00,430767.68354823574,4,2,429246.750569732,47646389.31324025,111,1,1,1,NOR
109,214031,h069,2006-01-02 12:00:00,430767.6835482358,4,2,429246.750569732,47646389.31324025,111,1,2,1,NOR
110,214032,h069,2006-01-03 12:00:00,430767.68354823574,4,2,429246.750569732,47646389.31324025,111,1,3,1,NOR
