,event_number,runs,start_time,end_time,country
0,1,h146,2003-05-10 12:00:00,2003-06-08 12:00:00,NOR
1,2,h056,2004-05-17 12:00:00,2004-06-15 12:00:00,NOR
2,3,h141,2003-05-12 12:00:00,2003-06-10 12:00:00,NOR
3,4,h167,2005-05-20 12:00:00,2005-06-18 12:00:00,NOR
4,5,h140,2005-05-08 12:00:00,2005-06-06 12:00:00,NOR
5,6,h150,2003-05-20 12:00:00,2003-06-18 12:00:00,NOR
6,7,h144,2007-05-22 12:00:00,2007-06-20 12:00:00,NOR
7,8,h088,2006-05-21 12:00:00,2006-06-19 12:00:00,NOR
8,9,h054,2004-05-06 12:00:00,2004-06-04 12:00:00,NOR
9,10,h031,2000-09-01 12:00:00,2000-09-30 12:00:00,NOR
10,11,h140,2004-09-01 12:00:00,2004-09-30 12:00:00,NOR
11,12,h151,2003-05-16 12:00:00,2003-06-14 12:00:00,NOR
12,13,h147,2002-05-19 12:00:00,2002-06-17 12:00:00,NOR
13,14,h053,2006-05-05 12:00:00,2006-06-03 12:00:00,NOR
14,15,h054,2003-09-01 12:00:00,2003-09-30 12:00:00,NOR
15,16,h046,2002-05-15 12:00:00,2002-06-13 12:00:00,NOR
16,17,h143,2008-05-07 12:00:00,2008-06-05 12:00:00,NOR
17,18,h056,2005-05-25 12:00:00,2005-06-23 12:00:00,NOR
18,19,h029,2005-05-10 12:00:00,2005-06-08 12:00:00,NOR
19,20,h067,2001-05-05 12:00:00,2001-06-03 12:00:00,NOR
20,21,h053,2005-09-01 12:00:00,2005-09-30 12:00:00,NOR
21,22,h068,2007-05-12 12:00:00,2007-06-10 12:00:00,NOR
22,23,h144,2000-06-01 12:00:00,2000-06-30 12:00:00,NOR
23,24,h146,2002-09-01 12:00:00,2002-09-30 12:00:00,NOR
24,25,h059,2002-05-26 12:00:00,2002-06-24 12:00:00,NOR
25,26,h051,2000-09-01 12:00:00,2000-09-30 12:00:00,NOR
26,27,h059,2003-05-04 12:00:00,2003-06-02 12:00:00,NOR
27,28,h147,2005-05-13 12:00:00,2005-06-11 12:00:00,NOR
28,29,h142,2002-05-22 12:00:00,2002-06-20 12:00:00,NOR
29,30,h053,2005-05-07 12:00:00,2005-06-05 12:00:00,NOR
30,31,h141,2002-09-01 12:00:00,2002-09-30 12:00:00,NOR
31,32,h053,2004-05-23 12:00:00,2004-06-21 12:00:00,NOR
32,33,h059,2002-09-01 12:00:00,2002-09-30 12:00:00,NOR
33,34,h085,2001-05-27 12:00:00,2001-06-25 12:00:00,NOR
34,35,h077,2000-09-01 12:00:00,2000-09-30 12:00:00,NOR
35,36,h053,2004-09-01 12:00:00,2004-09-30 12:00:00,NOR
36,37,h168,2003-05-15 12:00:00,2003-06-13 12:00:00,NOR
37,38,h067,2000-09-01 12:00:00,2000-09-30 12:00:00,NOR
38,39,h150,2007-05-10 12:00:00,2007-06-08 12:00:00,NOR
39,40,h140,2005-09-01 12:00:00,2005-09-30 12:00:00,NOR
40,41,h158,2001-05-05 12:00:00,2001-06-03 12:00:00,NOR
41,42,h149,2003-08-31 12:00:00,2003-09-29 12:00:00,NOR
42,43,h145,2008-05-19 12:00:00,2008-06-17 12:00:00,NOR
43,44,h066,2003-05-14 12:00:00,2003-06-12 12:00:00,NOR
44,45,h099,2000-09-01 12:00:00,2000-09-30 12:00:00,NOR
45,46,h109,2009-05-18 12:00:00,2009-06-16 12:00:00,NOR
46,47,h126,2009-05-14 12:00:00,2009-06-12 12:00:00,NOR
47,48,h057,2005-05-20 12:00:00,2005-06-18 12:00:00,NOR
48,49,h158,2000-09-01 12:00:00,2000-09-30 12:00:00,NOR
49,50,h087,2006-05-22 12:00:00,2006-06-20 12:00:00,NOR
50,51,h109,2004-05-13 12:00:00,2004-06-11 12:00:00,NOR
51,52,h149,2001-05-21 12:00:00,2001-06-19 12:00:00,NOR
52,53,h036,2009-05-21 12:00:00,2009-06-19 12:00:00,NOR
